ID_Cliente;Ano;Mes;Consumo_kWh
1035;2025;12;336
1035;2025;07;212
1036;2024;08;207
1036;2024;03;311
1036;2024;05;161
1036;2024;04;331
1036;2025;02;315
1036;2025;03;149
1036;2025;12;191
1036;2025;01;118
1037;2024;02;307
1037;2024;08;127
1037;2024;04;233
1037;2024;06;73
1037;2025;01;183
1037;2025;10;158
1037;2025;05;321
1037;2025;08;142
1038;2024;06;211
1038;2024;05;337
1038;2024;04;312
1038;2024;11;222
1038;2025;02;285
1038;2025;12;212
1038;2025;11;284
1038;2025;10;69
1039;2024;12;138
1039;2024;01;227
1039;2024;06;117
1039;2024;04;104
1039;2025;01;345
1039;2025;08;156
1039;2025;12;263
1039;2025;09;213
1040;2024;10;230
1040;2024;04;87
1040;2024;09;279
1040;2024;03;330
1040;2025;07;66
1040;2025;09;190
1040;2025;10;113
1040;2025;08;249
1041;2024;08;276
1041;2024;04;230
1041;2024;07;218
1041;2024;03;82
1041;2025;03;154
1041;2025;05;235
1041;2025;10;142
1041;2025;02;266
1042;2024;04;125
1042;2024;02;226
1042;2024;03;302
1042;2024;01;129
1042;2025;03;93
1042;2025;07;135
1042;2025;05;264
1042;2025;12;196
1043;2024;11;311
1043;2024;06;107
1043;2024;03;257
1043;2024;05;302
1043;2025;11;312
1043;2025;03;273
1043;2025;07;333
1043;2025;09;228
1044;2024;01;301
1044;2024;02;116
1044;2024;08;215
1044;2024;05;239
1044;2025;07;260
1044;2025;11;187
1044;2025;02;309
1044;2025;09;225
1045;2024;06;172
1045;2024;01;239
1045;2024;11;328
1045;2024;10;282
1045;2025;12;98
1045;2025;03;328
1045;2025;04;244
1045;2025;08;106
1046;2024;10;299
1046;2024;08;330
1046;2024;06;136
1046;2024;01;280
1046;2025;03;262
1046;2025;08;166
1046;2025;09;77
1046;2025;05;88
1047;2024;03;305
1047;2024;07;271
1047;2024;02;304
1047;2024;06;267
1047;2025;07;69
1047;2025;10;129
1047;2025;03;252
1047;2025;01;164
1048;2024;01;320
1048;2024;10;227
1048;2024;11;275
1048;2024;05;210
1048;2025;10;69
1048;2025;03;282
1048;2025;12;329
1048;2025;06;236
1049;2024;05;333
1049;2024;02;252
1049;2024;06;180
1049;2024;09;137
1049;2025;12;323
1049;2025;06;194
1049;2025;03;257
1049;2025;04;122
1050;2024;09;95
1050;2024;03;254
1050;2024;07;121
1050;2024;12;338
1050;2025;12;294
1050;2025;09;172
1050;2025;04;106
1050;2025;10;148
